property_type,society,sector,price_in_crores,price_per_sqft,area_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Super Built up area,Built Up area,Carpet area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score,area_room_ratio
flat,emaar mgf emerald floors premier,sector 65,2.8,16969.696969696968,1650.0,Carpet area: 1650 (153.29 sq.m.),3.0,3.0,3+,3.0,not available,Relatively New,,,1650.0,0,0,0,0,0,0,38,550.0
flat,dlf regency park,sector 28,1.6,14545.454545454546,1100.0,Carpet area: 1100 (102.19 sq.m.),2.0,2.0,2,3.0,North,Relatively New,,,1100.0,0,0,0,0,0,1,52,550.0
flat,supertech araville,sector 79,0.83,5424.83660130719,1530.0,Carpet area: 1530 (142.14 sq.m.),2.0,2.0,3,5.0,North-East,New Property,,,1530.0,0,0,0,0,0,2,49,765.0
flat,signature global park,sohna road,0.83,7410.714285714285,1120.0,Carpet area: 1120 (104.05 sq.m.),3.0,2.0,2,1.0,not available,New Property,,,1120.0,0,0,0,0,0,1,16,373.3333333333333
flat,maxworth city residences,sector 10,0.8,6400.0,1250.0,Carpet area: 1250 (116.13 sq.m.),2.0,3.0,2,9.0,not available,New Property,,,1250.0,0,0,0,0,0,1,46,625.0
flat,deepak minda,manesar,1.25,4715.201810637495,2651.0,Carpet area: 2651 (246.29 sq.m.),4.0,4.0,3+,6.0,not available,Moderately Old,,,2651.0,0,0,0,0,0,0,44,662.75
flat,pivotal devaan,sector 84,0.3,6666.666666666667,450.0,Carpet area: 450 (41.81 sq.m.),1.0,1.0,1,14.0,not available,New Property,,,450.0,0,0,0,0,0,0,22,450.0
flat,unitech the residences,sector 33,1.55,9872.611464968153,1570.0,Super Built up area 1570(145.86 sq.m.),3.0,4.0,1,1.0,South,Relatively New,1570.0,,,0,0,0,0,0,1,37,523.3333333333334
flat,chd avenue,sector 71,0.79,6594.32387312187,1198.0,Super Built up area 1198(111.3 sq.m.),2.0,2.0,2,8.0,South-East,Relatively New,1198.0,,,0,0,0,0,1,1,0,599.0
flat,silverglades the melia,sohna road,1.01,6999.306999306999,1443.0,Super Built up area 1450(134.71 sq.m.)Carpet area: 950 sq.ft. (88.26 sq.m.),2.0,2.0,3,12.0,not available,Undefined,1450.0,,950.0,0,0,0,0,0,1,80,721.5
flat,sare crescent parc royal greens phase 1,sector 92,0.95,5007.907221929362,1897.0,Super Built up area 1897(176.24 sq.m.),4.0,5.0,3+,4.0,not available,Moderately Old,1897.0,,,0,0,0,0,0,1,37,474.25
flat,umang winter hills,sector 77,0.99,7857.142857142857,1260.0,Super Built up area 1260(117.06 sq.m.)Carpet area: 1000 sq.ft. (92.9 sq.m.),2.0,2.0,2,1.0,North,Relatively New,1260.0,,1000.0,0,0,0,0,0,1,97,630.0
flat,ramprastha skyz,sector 37,1.1,6376.811594202899,1725.0,Super Built up area 1725(160.26 sq.m.),3.0,3.0,3+,7.0,East,Undefined,1725.0,,,0,0,0,0,0,1,109,575.0
flat,4s aradhya homes,sector 67,1.9,8861.940298507463,2144.0,Super Built up area 2200(204.39 sq.m.),4.0,4.0,3,3.0,not available,New Property,2200.0,,,0,0,0,0,0,0,62,536.0
flat,ild greens,sector 37,1.0,4319.654427645788,2315.0,Super Built up area 1875(174.19 sq.m.),3.0,3.0,3+,5.0,North,Under Construction,1875.0,,,0,0,0,0,0,1,51,771.6666666666666
flat,bptp freedom park life,sector 57,2.5,11111.111111111111,2250.0,Super Built up area 2250(209.03 sq.m.),3.0,3.0,3,9.0,not available,Moderately Old,2250.0,,,0,0,0,0,0,1,55,750.0
