,property_type,society,sector,price_in_crores,price_per_sqft,area_sqft,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,Super Built up area,Built Up area,Carpet area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score
3019,house,independent,sector 7,1.55,13889.0,1115.991072071423,,2.0,2.0,2,1.0,East,Moderately Old,,1115.99,,0,0,0,0,0,0,52
3020,house,independent,sector 7,3.85,14650.0,2627.9863481228667,,4.0,4.0,3,3.0,North-West,Old Property,,2627.99,,0,0,0,0,0,1,27
3021,house,independent,sector 7,2.0,13889.0,1439.9884800921593,,2.0,2.0,2,2.0,North-West,Old Property,,1439.99,,0,0,0,0,0,1,22
3022,house,independent,sector 7,3.1,13778.0,2249.963710262737,,3.0,3.0,2,2.0,North-West,Old Property,,2249.96,,0,0,0,0,0,1,22
3023,house,independent,sector 7,2.25,15625.0,1440.0,,3.0,3.0,2,2.0,North-West,Old Property,,1440.0,,0,0,0,0,0,0,27
3024,house,independent,sector 50,7.0,23333.0,3000.0428577551106,,4.0,4.0,2,3.0,North-East,Old Property,,3000.04,,0,0,0,1,0,1,118
3025,house,Vipul Tatvam Villa,sector 48,8.5,21250.0,4000.0,,4.0,5.0,3+,2.0,North,Moderately Old,,4000.0,,1,0,0,1,0,0,49
3026,house,Emaar MGF Marbella,sector 66,8.7,38667.0,2249.980603615486,,4.0,5.0,2,3.0,East,New Property,,2249.98,,1,0,0,1,0,1,144
3027,house,International City by SOBHA Phase 2,sector 109,12.5,26667.0,4687.441406982412,,5.0,6.0,3,3.0,East,Relatively New,,4687.44,,1,1,0,1,0,1,63
3028,house,International City by SOBHA Phase 2,sector 109,6.8,12593.0,5399.825299769714,,4.0,5.0,3,2.0,North-West,Relatively New,,5399.83,,0,0,0,1,0,1,49
3029,house,International City by SOBHA Phase 2,sector 109,9.5,26389.0,3599.984842169086,,7.0,6.0,3,3.0,West,Relatively New,,3599.98,,1,0,0,1,0,1,138
3030,house,International City by SOBHA Phase 2,sector 109,7.0,12963.0,5399.9845714726525,,5.0,6.0,2,2.0,West,Relatively New,,5399.98,,0,0,0,1,0,1,154
3031,house,International City by SOBHA Phase 2,sector 109,6.2,25514.0,2430.0384102845496,,5.0,5.0,2,2.0,South-West,Relatively New,,2430.04,,0,0,0,1,0,1,135
3032,house,huda sector-56 gurgaon,sector 56,3.6,24845.0,1448.983698933387,,5.0,5.0,3+,3.0,North-East,Moderately Old,,1448.98,,0,0,0,0,0,1,47
3033,house,International City by Sobha Phase 1,sector 109,5.9,24280.0,2429.98352553542,,4.0,5.0,2,2.0,East,Relatively New,,2429.98,,0,0,0,1,0,0,111
3034,house,International City by Sobha Phase 1,sector 109,5.85,26423.0,2213.9802444839725,,4.0,5.0,3+,2.0,East,Relatively New,,2213.98,,0,0,0,1,0,0,85
3035,house,Bptp Visionnaire,sector 70,4.0,6666.0,6000.600060006001,,4.0,4.0,3+,2.0,North-East,Relatively New,,6000.6,,0,0,0,1,0,1,154
3036,house,Bptp Visionnaire,sector 70,5.35,8916.0,6000.448631673396,,4.0,4.0,3+,3.0,North,Relatively New,,6000.45,,1,1,0,1,0,0,160
3037,house,independent,sector 25,6.6,36667.0,1799.9836365123954,,6.0,7.0,3+,2.0,East,Moderately Old,,1799.98,,1,0,0,1,0,0,119
3038,house,International City by Sobha Phase 1,sector 109,6.3,9000.0,7000.0,,4.0,5.0,3+,2.0,West,Relatively New,,7000.0,,0,0,0,0,0,0,122
3039,house,International City by Sobha Phase 1,sector 109,12.0,20000.0,6000.0,,5.0,6.0,3,2.0,North-East,Relatively New,,6000.0,,1,0,0,1,0,0,154
3040,house,independent,sector 105,0.65,9028.0,719.9822773593265,,3.0,2.0,1,1.0,East,Relatively New,,719.98,,0,0,0,0,0,1,14
3041,house,independent,sector 4,0.55,4074.0,1350.0245459008345,,3.0,3.0,2,2.0,South,Relatively New,,1350.02,,0,0,0,0,0,1,7
3042,house,independent,sector 4,0.85,630.0,13492.063492063491,,3.0,3.0,1,1.0,North,Relatively New,,13492.06,,0,0,0,0,0,1,0
3043,house,independent,sector 4,0.58,86567.0,67.00012706920651,,2.0,2.0,1,2.0,West,Moderately Old,,67.0,,0,0,0,0,0,1,7
3044,house,independent,sector 4,0.65,92857.0,70.00010769247338,,1.0,1.0,1,1.0,South-East,Moderately Old,,70.0,,0,0,0,0,0,1,21
3045,house,independent,sector 4,0.61,100000.0,61.0,,2.0,2.0,2,2.0,South-East,Moderately Old,,61.0,,0,0,0,0,0,1,14
3046,house,independent,sector 4,0.67,88157.0,76.00077135111222,,3.0,3.0,2,2.0,South,Relatively New,,76.0,,0,0,0,0,0,1,7
3047,house,Ansal Sushant Lok Plots,sector 43,5.8,29974.0,1935.0103422966567,,6.0,6.0,3,2.0,South-West,Relatively New,,1935.01,,0,0,0,1,0,0,49
3048,house,International City by Sobha Phase 1,sector 109,6.0,24691.0,2430.035235510915,,4.0,5.0,3+,2.0,North,Relatively New,,2430.04,,0,0,0,1,0,0,96
3049,house,independent,sector 57,6.25,2778.0,22498.20014398848,,9.0,9.0,3+,3.0,North-East,New Property,,22498.2,,0,0,0,1,0,0,61
3050,house,private house,sector 55,7.05,46906.0,1503.006012024048,,18.0,18.0,3+,4.0,North-East,Relatively New,,1503.01,,0,0,0,0,0,2,57
3051,house,independent,sector 11,4.5,25000.0,1800.0,,16.0,16.0,3+,4.0,South,Relatively New,,1800.0,,0,0,0,0,0,0,20
3052,house,independent,sector 31,3.69,23699.0,1557.027722688721,,4.0,4.0,2,2.0,East,Moderately Old,,1557.03,,1,0,0,1,0,0,75
3053,house,independent,sector 43,2.5,25960.0,963.020030816641,,7.0,7.0,3,4.0,West,Relatively New,,963.02,,0,0,0,0,0,2,20
3054,house,independent,sector 43,5.5,28424.0,1934.984520123839,,1.0,1.0,0,1.0,South-West,Old Property,,1934.98,,0,0,0,0,0,1,12
3055,house,Unitech Deerwood Chase,sector 50,15.0,33333.0,4500.045000450004,,4.0,4.0,2,2.0,West,Moderately Old,,4500.05,,0,0,0,1,0,1,160
3056,house,Unitech Aspen Greens,sector 50,6.95,4490.0,15478.841870824052,,3.0,3.0,1,2.0,North-East,Moderately Old,,15478.84,,0,0,0,1,0,1,160
3057,house,Ansals Palam Vihar,sector 2,5.7,14729.0,3869.916491275714,,5.0,5.0,2,2.0,North-East,Old Property,,3869.92,,0,0,0,0,0,2,94
3058,house,International City by SOBHA Phase 2,sector 109,11.3,25111.0,4500.019911592529,,7.0,5.0,3+,4.0,East,Relatively New,,4500.02,,1,0,0,1,0,1,49
3059,house,International City by SOBHA Phase 2,sector 109,11.25,25000.0,4500.0,,7.0,5.0,3+,4.0,North-East,Relatively New,,4500.0,,1,0,0,1,0,1,42
3060,house,Bptp Visionnaire,sector 70,4.02,7309.0,5500.068408811054,,4.0,4.0,3+,3.0,North-East,Relatively New,,5500.07,,1,1,0,1,0,1,138
3061,house,International City by Sobha Phase 1,sector 109,5.7,10556.0,5399.772641151952,,4.0,4.0,3+,4.0,East,Relatively New,,5399.77,,1,0,0,1,0,1,98
3062,house,independent,sector 12,1.0,74074.0,135.000135000135,,9.0,7.0,3+,3.0,North,Moderately Old,,135.0,,0,1,0,0,0,1,7
3063,house,independent,sector 7,0.66,12000.0,550.0,,3.0,1.0,1,3.0,East,Relatively New,,550.0,,0,0,0,0,0,1,22
3064,house,HUDA Ashok Vihar Phase,sector 4,0.7,10233.0,684.0613700772012,,3.0,2.0,1,2.0,North-East,New Property,,684.06,,1,0,0,0,0,1,7
3065,house,independent,sector 24,1.45,26852.0,539.9970207060927,,3.0,3.0,1,,,Old Property,,540.0,,0,0,0,0,0,1,9
