property_type,society,sector,price_in_crores,price_per_sqft,bedRoom,bathroom,balcony,floorNum,agePossession,Built Up area,study room,store room,Pooja Room,servant room,Others,furnishing_type,luxury_score
flat,signature global city 63a,sector 63,2.0,12804.097311139563,3.0,3.0,2,1.0,Relatively New,1540.0,0,0,0,0,0,1,36
flat,godrej oasis,sector 88,1.29,7799.274486094317,3.0,3.0,3,5.0,New Property,2379.0,0,0,0,0,1,1,65
flat,m3m skycity,sector 65,2.85,15590.809628008752,3.0,3.0,3,43.0,Relatively New,1828.0,0,0,0,0,0,0,115
flat,supertech araville,sector 79,1.1,5641.025641025641,3.0,3.0,3,1.0,Relatively New,2167.0,0,0,0,0,0,0,106
flat,smart world orchard,sector 61,1.65,13750.0,2.0,2.0,2,1.0,Under Construction,1333.0,0,0,0,0,0,1,16
flat,hcbs sports ville,sohna road,0.24,7407.407407407408,1.0,1.0,2,1.0,New Property,360.0,0,0,0,0,0,1,68
flat,emaar palm premier,sector 77,2.1,10500.0,3.0,4.0,3+,11.0,New Property,1600.0,0,0,0,0,0,0,129
flat,godrej nature plus,sector 33,1.9,9849.663037843442,3.0,3.0,3+,14.0,New Property,2143.0,0,0,0,0,0,1,96
flat,godrej aria,sector 79,1.1,11482.254697286013,2.0,2.0,3,9.0,New Property,81.0,0,0,0,0,0,1,62
flat,ramsons kshitij,sector 95,0.32,4500.7032348804505,2.0,2.0,1,8.0,Relatively New,880.0,0,0,0,0,1,2,28
flat,conscient one,sector 109,1.7,17616.58031088083,1.0,1.0,2,9.0,Relatively New,965.0,0,0,0,0,0,1,0
flat,pareena laxmi apartments,sector 99,0.32,6106.8702290076335,2.0,2.0,2,2.0,New Property,710.0,0,0,0,0,0,1,50
flat,pyramid elite,sector 86,0.45,7745.26678141136,2.0,2.0,1,4.0,Relatively New,646.0,0,0,0,0,0,1,66
flat,raheja revanta,sector 78,1.2,10016.69449081803,1.0,2.0,2,32.0,Under Construction,1364.0,0,0,0,0,0,1,39
flat,m3m skycity,sector 65,2.1,16030.534351145036,2.0,2.0,2,43.0,New Property,1186.0,0,0,0,0,0,1,127
flat,not applicable,sector 4,0.42,5600.0,2.0,2.0,1,3.0,Relatively New,833.0,0,0,0,0,0,0,26
flat,godrej nature plus,sector 33,1.55,9955.041746949262,3.0,2.0,3+,8.0,New Property,1730.0,0,0,0,0,0,1,43
flat,ramprastha city,dwarka expressway,1.3,9027.777777777776,3.0,3.0,2,3.0,Under Construction,1303.0,0,0,0,0,0,1,0
flat,smartworld 1dxp,sector 113,2.75,10589.14131690412,4.0,4.0,3+,20.0,New Property,2886.0,0,0,1,0,0,2,57
flat,ansal housing highland park,sector 103,1.25,6443.298969072165,3.0,3.0,3+,2.0,New Property,2342.0,0,0,1,0,0,1,105
flat,czar mahira homes 63a,sector 63,0.42,7407.407407407408,3.0,2.0,2,1.0,Relatively New,630.0,0,0,0,0,0,1,0
flat,breez global heights,sohna road,0.4,6420.545746388443,2.0,2.0,1,4.0,New Property,897.0,0,0,0,0,0,1,49
flat,trisara our homes 3,sohna road,0.34,5405.405405405405,2.0,2.0,1,0.0,New Property,699.0,0,0,0,0,0,1,0
