,property_type,sector,price_in_crores,bedRoom,bathroom,balcony,agePossession,Built Up area,store room,servant room,furnishing_type,luxury_category,floor_category
94,flat,sector 88,1.29,3.0,3.0,3,New Property,2379.0,0,0,1,Medium,Mid floor
95,flat,sector 65,2.85,3.0,3.0,3,Relatively New,1828.0,0,0,0,Medium,High floor
96,flat,sector 79,1.1,3.0,3.0,3,Relatively New,2167.0,0,0,0,Medium,Low floor
97,flat,sector 61,1.65,2.0,2.0,2,Under Construction,1333.0,0,0,1,Low,Low floor
98,flat,sohna road,0.24,1.0,1.0,2,New Property,360.0,0,0,1,Medium,Low floor
99,flat,sector 77,2.1,3.0,4.0,3+,New Property,1600.0,0,0,0,Medium,High floor
100,flat,sector 33,1.9,3.0,3.0,3+,New Property,2143.0,0,0,1,Medium,High floor
101,flat,sector 79,1.1,2.0,2.0,3,New Property,81.0,0,0,1,Medium,Mid floor
102,flat,sector 95,0.32,2.0,2.0,1,Relatively New,880.0,0,0,2,Low,Mid floor
103,flat,sector 109,1.7,1.0,1.0,2,Relatively New,965.0,0,0,1,Low,Mid floor
104,flat,sector 99,0.32,2.0,2.0,2,New Property,710.0,0,0,1,Medium,Low floor
105,flat,sector 86,0.45,2.0,2.0,1,Relatively New,646.0,0,0,1,Medium,Mid floor
106,flat,sector 78,1.2,1.0,2.0,2,Under Construction,1364.0,0,0,1,Low,High floor
107,flat,sector 65,2.1,2.0,2.0,2,New Property,1186.0,0,0,1,Medium,High floor
108,flat,sector 4,0.42,2.0,2.0,1,Relatively New,833.0,0,0,0,Low,Mid floor
109,flat,sector 33,1.55,3.0,2.0,3+,New Property,1730.0,0,0,1,Low,Mid floor
110,flat,dwarka expressway,1.3,3.0,3.0,2,Under Construction,1303.0,0,0,1,Low,Mid floor
111,flat,sector 113,2.75,4.0,4.0,3+,New Property,2886.0,0,0,2,Medium,High floor
112,flat,sector 103,1.25,3.0,3.0,3+,New Property,2342.0,0,0,1,Medium,Low floor
113,flat,sector 63,0.42,3.0,2.0,2,Relatively New,630.0,0,0,1,Low,Low floor
114,flat,sohna road,0.4,2.0,2.0,1,New Property,897.0,0,0,1,Low,Mid floor
115,flat,sohna road,0.34,2.0,2.0,1,New Property,699.0,0,0,1,Low,Low floor
116,flat,sector 89,1.25,3.0,3.0,3,New Property,1288.0,0,0,1,Medium,Mid floor
117,flat,sector 77,1.5,3.0,3.0,3,Relatively New,1966.0,0,0,0,Medium,Mid floor
118,flat,dwarka expressway,1.3,3.0,3.0,2,Under Construction,1267.0,0,0,1,Low,Mid floor
119,flat,sector 99,1.6,3.0,3.0,3,Under Construction,1810.0,0,0,1,Low,Mid floor
120,flat,sector 113,1.5,2.0,2.0,2,New Property,1418.0,0,0,1,Medium,High floor
121,flat,sector 113,1.5,2.0,2.0,2,New Property,1155.0,0,0,1,Medium,High floor
122,flat,sector 104,0.9,2.0,2.0,0,Relatively New,1259.0,0,0,1,Low,High floor
123,flat,sector 52,1.5,4.0,4.0,3,Old Property,1484.0,0,0,1,Medium,Mid floor
124,flat,sector 67,0.8,1.0,1.0,0,Relatively New,610.0,0,0,1,Low,Low floor
125,flat,sector 86,1.25,3.0,2.0,1,New Property,1529.0,0,0,1,Low,High floor
126,flat,sohna road,0.26,2.0,2.0,1,Relatively New,535.0,0,0,1,Low,Low floor
127,flat,sohna road,0.42,2.0,2.0,1,New Property,590.0,0,0,1,Medium,High floor
128,flat,sector 43,2.5,3.0,3.0,2,New Property,195.0,0,0,1,Low,Low floor
129,flat,sector 78,0.9,3.0,3.0,2,Moderately Old,1900.0,0,0,1,Medium,Low floor
130,flat,sector 92,0.42,2.0,2.0,1,Relatively New,657.0,0,0,0,Low,Mid floor
131,flat,sector 107,0.5,2.0,2.0,1,Relatively New,494.0,0,0,1,Medium,High floor
132,flat,sector 79,0.9,2.0,2.0,3,Relatively New,1450.0,0,0,1,Medium,Mid floor
133,flat,sector 89,1.3,3.0,3.0,3+,New Property,2122.0,0,0,1,Low,Low floor
134,flat,sector 33,1.7,3.0,3.0,3,Under Construction,1619.0,0,0,1,Low,High floor
135,flat,sector 92,1.25,4.0,3.0,0,Relatively New,2040.0,0,0,1,Low,High floor
136,flat,sector 82,2.91,4.0,4.0,3,Under Construction,5870.0,0,0,0,Medium,Mid floor
137,flat,sector 12,1.15,3.0,4.0,2,Old Property,2000.0,0,0,0,Low,Low floor
138,flat,sector 89,1.2,3.0,3.0,3,New Property,1064.0,0,0,1,Medium,Mid floor
139,flat,sohna road,1.5,2.0,2.0,3,New Property,1361.0,0,0,1,Low,High floor
140,flat,sohna road,1.3,3.0,3.0,3+,Relatively New,2301.0,0,0,1,Low,Mid floor
141,flat,sector 104,1.75,3.0,3.0,3,Relatively New,1529.0,0,0,1,Low,Low floor
142,flat,sector 3,0.55,2.0,2.0,1,Relatively New,778.0,0,0,0,Medium,Mid floor
143,flat,sector 65,2.5,3.0,3.0,3,Relatively New,1654.0,0,0,1,Low,High floor
144,flat,sector 2,0.8,3.0,2.0,3,Moderately Old,1440.0,0,0,1,Low,Mid floor
145,flat,sector 108,0.7,2.0,2.0,1,Moderately Old,1468.0,0,0,1,Low,Mid floor
146,flat,sector 37,1.95,4.0,3.0,3,Relatively New,1650.0,0,0,1,Medium,Mid floor
147,flat,sector 90,0.45,2.0,2.0,1,New Property,696.0,0,0,0,Low,Low floor
148,flat,sector 79,1.7,3.0,2.0,3,Relatively New,1570.0,0,0,1,Low,Mid floor
149,flat,sector 86,0.5,2.0,2.0,1,Relatively New,578.0,0,0,1,Low,Mid floor
150,flat,sector 65,2.8,3.0,3.0,3,Relatively New,1867.0,0,0,1,Medium,High floor
151,flat,sector 33,1.45,3.0,2.0,3+,Under Construction,118.0,0,0,1,Medium,High floor
152,flat,sector 61,2.2,3.0,3.0,2,New Property,1811.0,0,0,1,Low,Mid floor
153,flat,sohna road,0.9,2.0,2.0,2,Relatively New,1682.0,0,0,2,Medium,High floor
154,flat,sector 95,0.4,2.0,2.0,2,New Property,571.0,0,0,0,Low,Mid floor
155,flat,sector 77,1.35,3.0,3.0,3+,New Property,2236.0,0,0,0,Medium,Mid floor
156,flat,sector 67,1.85,4.0,4.0,0,Relatively New,2556.0,0,0,1,Low,Mid floor
157,flat,sector 95,0.25,1.0,1.0,1,New Property,344.0,0,0,1,Low,Mid floor
158,flat,sector 89,0.88,2.0,2.0,3,New Property,1228.0,0,0,1,Low,Low floor
159,flat,sector 99,1.15,2.0,2.0,2,New Property,1235.0,0,0,0,Medium,Low floor
160,flat,sector 99,0.85,2.0,2.0,2,New Property,1133.0,0,0,1,Low,Mid floor
161,flat,sector 82,0.75,2.0,2.0,2,Relatively New,1000.0,0,0,1,Low,Low floor
162,flat,sector 2,3.35,4.0,4.0,3+,New Property,5000.0,0,0,1,Medium,Low floor
163,flat,sector 88,1.5,3.0,3.0,3+,New Property,1674.0,0,0,1,Low,High floor
164,flat,sector 91,1.65,4.0,4.0,3+,Moderately Old,2139.0,0,0,1,Medium,High floor
165,flat,sector 91,2.0,4.0,4.0,3+,Moderately Old,2468.0,0,0,1,Medium,High floor
166,flat,sector 68,0.9,2.0,2.0,2,New Property,1311.0,0,0,1,Low,Low floor
167,flat,sector 70,1.25,3.0,3.0,3,Under Construction,1688.0,0,0,1,Medium,High floor
168,flat,sector 37,1.0,3.0,3.0,3+,Relatively New,1708.0,0,0,0,Low,Mid floor
169,flat,dwarka expressway,1.08,3.0,3.0,0,Under Construction,1758.0,0,0,1,Low,Low floor
170,flat,sector 85,2.15,3.0,5.0,3,New Property,2179.0,0,0,1,Medium,Low floor
171,flat,sector 67,1.0,1.0,1.0,1,Relatively New,826.0,0,0,1,Low,High floor
172,flat,sector 70,1.65,2.0,2.0,3,New Property,1142.0,0,0,1,Medium,High floor
173,flat,sector 90,1.79,4.0,3.0,3+,Moderately Old,2461.0,0,0,1,Medium,Mid floor
174,flat,sector 85,1.8,3.0,3.0,3,Under Construction,141.0,0,0,1,Low,High floor
175,flat,gwal pahari,1.45,3.0,3.0,3,Under Construction,1430.0,0,0,1,Low,Mid floor
176,flat,sector 7,0.36,2.0,2.0,1,Relatively New,700.0,0,0,1,Low,Low floor
177,flat,sohna road,0.25,2.0,2.0,1,Relatively New,587.0,0,0,1,Low,Low floor
178,flat,sector 79,1.15,3.0,3.0,3+,Relatively New,1200.0,0,0,1,Medium,Low floor
179,flat,sohna road,1.65,3.0,3.0,0,Relatively New,1051.0,0,0,1,Medium,Low floor
180,flat,sector 113,2.9,4.0,4.0,3+,New Property,2553.0,0,0,1,Low,High floor
181,flat,sector 92,0.6,2.0,2.0,3,Under Construction,1195.0,0,0,1,Low,High floor
182,flat,sector 47,2.4,3.0,3.0,0,Moderately Old,2667.0,0,0,0,Low,Low floor
183,flat,sector 70,1.25,2.0,2.0,3,Relatively New,1402.0,0,0,1,Low,High floor
184,flat,sector 65,2.15,2.0,2.0,3+,Relatively New,1433.0,0,0,1,Low,High floor
185,flat,sohna road,0.29,2.0,2.0,1,Relatively New,743.0,0,0,1,Low,Mid floor
186,flat,sohna road,0.38,2.0,2.0,2,Relatively New,750.0,0,0,1,Low,Mid floor
187,flat,sector 4,0.39,2.0,2.0,1,Relatively New,950.0,0,0,1,Low,Low floor
188,flat,sector 99,1.6,3.0,4.0,0,New Property,2400.0,0,0,1,Medium,High floor
189,flat,sector 68,1.7,4.0,4.0,3,New Property,1809.0,0,0,1,Low,Low floor
190,flat,sector 54,3.25,3.0,3.0,3+,Old Property,2558.0,0,0,0,Medium,Low floor
191,flat,sector 111,0.6,2.0,2.0,3,New Property,789.0,0,0,1,Medium,Mid floor
192,flat,sector 95,0.27,2.0,2.0,0,New Property,1210.0,0,0,1,Low,Low floor
193,flat,sector 28,0.95,2.0,1.0,1,Old Property,1188.0,0,0,1,Medium,Low floor
194,flat,sector 65,2.65,2.0,2.0,3,New Property,1433.0,0,0,1,Low,Mid floor
195,flat,sector 79,0.36,2.0,2.0,1,New Property,546.0,0,0,1,Medium,Mid floor
196,flat,sector 37,0.55,2.0,2.0,3,New Property,543.0,0,0,1,Medium,Mid floor
197,flat,sector 89,1.32,3.0,3.0,3,New Property,867.0,0,0,1,Low,Low floor
198,flat,sector 99,0.59,2.0,2.0,3,New Property,1133.0,0,0,1,Medium,Low floor
199,flat,sector 4,0.45,2.0,2.0,1,Relatively New,944.0,0,0,1,Low,Low floor
200,flat,sector 37,0.9,3.0,3.0,2,Relatively New,1185.0,0,0,2,Low,High floor
201,flat,sector 79,1.4,2.0,2.0,2,Relatively New,1556.0,0,0,2,Medium,Mid floor
202,flat,sohna road,0.95,2.0,2.0,3+,New Property,1786.0,0,0,0,Medium,Mid floor
203,flat,sector 65,3.0,3.0,3.0,3,Under Construction,1667.0,0,0,1,Medium,High floor
204,flat,sector 65,3.67,3.0,3.0,2,Relatively New,2040.0,0,0,1,Low,High floor
205,flat,sector 82,3.85,5.0,6.0,3+,New Property,5711.0,0,0,1,Medium,Mid floor
206,flat,sector 65,3.29,3.0,3.0,3,New Property,1828.0,0,0,1,Low,High floor
207,flat,sector 65,2.33,2.0,2.0,3,Under Construction,1141.0,0,0,0,Low,High floor
208,flat,sector 65,2.79,3.0,3.0,3,New Property,1969.0,0,0,1,Low,High floor
209,flat,sector 41,3.4,4.0,4.0,3,Old Property,2900.0,0,0,1,Low,Low floor
210,flat,sector 12,0.72,2.0,2.0,1,Relatively New,1100.0,0,0,0,Low,Low floor
211,flat,sector 104,0.4,2.0,2.0,1,Relatively New,514.0,0,0,1,Medium,Mid floor
212,flat,sector 95,0.56,2.0,2.0,2,Relatively New,1234.0,0,0,0,Medium,Mid floor
213,flat,sector 71,1.1,3.0,3.0,3,Relatively New,1466.0,0,0,1,Medium,High floor
214,flat,sector 37,0.71,2.0,2.0,3,New Property,1100.0,0,0,1,Low,Mid floor
215,flat,sector 79,0.78,2.0,2.0,3+,New Property,1172.0,0,0,1,Medium,Low floor
216,flat,sector 37,0.4,2.0,2.0,3,Under Construction,756.0,0,0,1,Medium,Mid floor
217,flat,sector 113,1.85,3.0,2.0,2,New Property,1429.0,0,0,1,Low,Mid floor
218,flat,sector 102,1.1,2.0,2.0,1,Relatively New,817.0,0,0,1,Medium,Mid floor
219,flat,sector 61,1.41,2.0,2.0,2,New Property,1150.0,0,0,1,Medium,Low floor
220,flat,sector 79,1.45,3.0,3.0,3,Relatively New,2161.0,0,0,1,Low,Mid floor
221,flat,sector 61,2.2,3.0,3.0,2,New Property,1778.0,0,0,1,Low,Low floor
222,flat,sector 33,1.1,2.0,2.0,3,Moderately Old,1100.0,0,0,0,Low,Mid floor
223,flat,sector 102,2.05,3.0,4.0,3+,Relatively New,2250.0,0,0,1,Medium,High floor
224,flat,sector 92,0.6,3.0,2.0,3,Moderately Old,1333.0,0,0,0,Low,Mid floor
225,flat,sector 89,0.8,2.0,3.0,3,Under Construction,1502.0,0,0,1,Medium,Mid floor
226,flat,sector 84,0.41,2.0,2.0,2,New Property,565.0,0,0,0,Low,Mid floor
227,flat,sector 73,0.9,3.0,3.0,3,Under Construction,1622.0,0,0,1,Medium,Mid floor
228,flat,sector 7,0.54,2.0,2.0,1,Relatively New,1000.0,0,0,1,Medium,Mid floor
229,flat,sector 36,0.82,3.0,2.0,2,New Property,1339.0,0,0,1,Low,Low floor
230,flat,sector 71,1.0,3.0,3.0,3+,Relatively New,1344.0,0,0,0,Low,Mid floor
231,flat,sector 56,1.85,3.0,4.0,3,Old Property,2278.0,0,0,1,Medium,Mid floor
232,flat,sector 83,1.42,3.0,3.0,2,Relatively New,1972.0,0,0,0,Medium,Low floor
233,flat,sector 37,0.55,2.0,2.0,3,New Property,610.0,0,0,1,Medium,Mid floor
234,flat,sector 65,2.29,2.0,2.0,3,Under Construction,1592.0,0,0,1,Low,Mid floor
235,flat,sector 102,0.97,2.0,2.0,2,New Property,1162.0,0,0,1,Medium,High floor
236,flat,sector 53,8.25,3.0,4.0,3,Relatively New,2661.0,0,0,2,Low,Mid floor
237,flat,sector 3,0.3,2.0,2.0,1,Relatively New,750.0,0,0,1,Low,Low floor
238,flat,sector 33,1.65,2.0,2.0,3,Under Construction,1279.0,0,0,1,Low,Low floor
239,flat,sector 65,1.99,2.0,2.0,2,Relatively New,1140.0,0,0,1,Low,High floor
240,flat,sector 68,1.0,2.0,2.0,3,Relatively New,889.0,0,0,1,Low,High floor
241,flat,sector 62,4.25,3.0,3.0,3,Under Construction,1600.0,0,0,1,Low,Mid floor
242,flat,sector 78,1.25,4.0,4.0,3,Relatively New,2300.0,0,0,1,Medium,Low floor
243,flat,sector 83,0.95,3.0,3.0,3,Moderately Old,1489.0,0,0,1,Low,Low floor
244,flat,sector 4,1.05,3.0,2.0,2,New Property,1500.0,0,0,0,Low,Low floor
245,flat,sector 72,4.1,4.0,5.0,3+,New Property,2629.0,0,0,1,Medium,High floor
246,flat,sector 90,0.5,2.0,2.0,2,Relatively New,796.0,0,0,1,Low,Low floor
247,flat,manesar,1.65,4.0,3.0,3,New Property,3111.0,0,0,1,Low,Mid floor
248,flat,sector 70,1.6,3.0,3.0,3,New Property,1750.0,0,0,1,Medium,Low floor
249,flat,sector 61,2.1,3.0,2.0,3,New Property,2235.0,0,0,1,Medium,Mid floor
250,flat,manesar,0.9,4.0,4.0,3,Moderately Old,2233.0,0,0,1,Low,Mid floor
251,flat,sector 79,1.1,2.0,2.0,3+,New Property,1223.0,0,0,0,Low,Mid floor
252,flat,sector 99,0.92,2.0,2.0,3+,Under Construction,1235.0,0,0,1,Medium,High floor
253,flat,sector 92,0.7,3.0,3.0,2,Under Construction,140.0,0,0,1,Low,High floor
254,flat,sector 70,0.99,3.0,4.0,2,Under Construction,1416.0,0,0,1,Low,High floor
255,flat,sector 79,0.71,2.0,2.0,3+,New Property,1866.0,0,0,1,Medium,High floor
256,flat,sector 103,0.88,2.0,2.0,3,New Property,1232.0,0,0,1,Medium,Mid floor
257,flat,sector 69,0.91,3.0,2.0,2,Moderately Old,1473.0,0,0,1,Low,High floor
258,flat,sector 82,1.25,3.0,4.0,3+,Under Construction,1774.0,0,0,1,Medium,Mid floor
259,flat,sector 47,1.05,2.0,2.0,2,Relatively New,1108.0,0,0,0,Low,Mid floor
260,flat,sector 37,0.66,2.0,2.0,3+,Relatively New,1310.0,0,0,1,Medium,High floor
261,flat,sector 113,1.83,2.0,2.0,0,New Property,1310.0,0,0,1,Medium,Mid floor
262,flat,sector 70,0.53,2.0,2.0,2,Relatively New,991.0,0,0,1,Low,Mid floor
263,flat,sector 37,0.8,2.0,2.0,3,Relatively New,1300.0,0,0,1,Medium,Low floor
264,flat,sector 89,1.71,3.0,2.0,0,New Property,1423.0,0,0,1,Low,Mid floor
265,flat,sector 83,0.65,1.0,1.0,0,Relatively New,700.0,0,0,1,Low,Mid floor
266,flat,sector 99,1.3,3.0,3.0,0,New Property,1997.0,0,0,1,Low,High floor
267,flat,sector 92,0.82,3.0,3.0,3+,Relatively New,1523.0,0,0,1,Low,High floor
268,flat,sector 54,5.7,3.0,3.0,3,Moderately Old,1382.0,0,0,1,Low,Low floor
269,flat,sector 63,0.88,1.0,1.0,2,Relatively New,804.0,0,0,1,Low,Mid floor
270,flat,sector 110,4.0,4.0,4.0,3,New Property,3350.0,0,0,1,Medium,High floor
271,flat,sector 85,1.93,3.0,4.0,3,Relatively New,2400.0,0,0,1,High,Mid floor
272,flat,sector 113,3.45,4.0,4.0,3,New Property,2353.0,0,0,0,High,High floor
273,flat,sector 56,1.7,3.0,3.0,3,Moderately Old,2200.0,0,0,1,Low,Mid floor
274,flat,sector 65,6.15,3.0,5.0,3+,Relatively New,4271.0,0,0,2,Low,Low floor
275,flat,sector 2,1.4,3.0,3.0,3+,Old Property,1611.0,0,0,2,Medium,Mid floor
276,flat,sector 84,1.48,3.0,3.0,2,New Property,2529.0,0,0,0,Medium,Low floor
277,flat,sector 33,3.25,4.0,4.0,3+,Old Property,4809.0,0,0,0,Medium,High floor
278,flat,sector 67,3.49,3.0,3.0,3,Relatively New,2724.0,0,0,1,Medium,High floor
279,flat,sector 62,2.15,2.0,2.0,3,Under Construction,1676.0,0,0,1,Medium,High floor
280,flat,sector 33,1.4,2.0,2.0,3,Under Construction,2127.0,0,0,1,Medium,High floor
281,flat,sector 43,2.0,3.0,3.0,2,Moderately Old,1273.0,0,0,1,Medium,Mid floor
282,flat,sector 61,2.3,3.0,3.0,2,New Property,1475.0,0,0,1,Medium,Low floor
