,property_type,sector,bedRoom,bathroom,balcony,agePossession,Built Up area,store room,servant room,furnishing_type,luxury_category,floor_category,price_in_crores
2455,0.0,97.0,2.0,2.0,2.0,1.0,632.0,0,0,0,1.0,1.0,0.45
2456,0.0,3.0,3.0,3.0,3.0,0.0,1526.0,0,0,1,1.0,1.0,0.68
2457,0.0,91.0,2.0,2.0,3.0,1.0,1233.0,0,0,1,2.0,2.0,1.0
2458,0.0,9.0,3.0,4.0,4.0,3.0,2072.0,0,0,1,2.0,2.0,2.0
2459,0.0,100.0,2.0,2.0,2.0,0.0,1350.0,0,0,1,2.0,2.0,0.75
2460,0.0,98.0,4.0,4.0,4.0,1.0,3041.0,0,0,1,2.0,1.0,3.25
2461,0.0,100.0,2.0,2.0,4.0,3.0,1319.0,0,0,0,1.0,0.0,1.1
2462,0.0,89.0,3.0,2.0,3.0,3.0,1480.0,0,0,2,2.0,2.0,1.45
2463,0.0,98.0,4.0,4.0,0.0,1.0,3225.0,0,0,1,1.0,2.0,3.2
2464,0.0,96.0,2.0,2.0,2.0,1.0,604.0,0,0,1,1.0,0.0,0.4
2465,0.0,91.0,2.0,2.0,2.0,1.0,1226.0,0,0,1,1.0,2.0,0.95
2466,0.0,61.0,3.0,4.0,3.0,4.0,2077.0,0,0,1,1.0,2.0,4.25
2467,0.0,12.0,2.0,2.0,2.0,1.0,615.0,0,0,1,1.0,2.0,0.37
2468,0.0,96.0,3.0,4.0,2.0,3.0,1350.0,0,0,0,2.0,0.0,1.25
2469,0.0,71.0,2.0,2.0,2.0,0.0,1100.0,0,0,1,1.0,2.0,0.75
2470,0.0,81.0,3.0,4.0,4.0,3.0,2629.0,0,0,0,0.0,1.0,2.0
2471,0.0,85.0,5.0,5.0,4.0,3.0,2896.0,0,0,2,1.0,0.0,3.5
2472,0.0,33.0,2.0,2.0,2.0,1.0,1278.0,0,0,2,2.0,0.0,1.91
2473,0.0,39.0,3.0,3.0,4.0,0.0,1602.0,0,0,1,1.0,0.0,1.0
2474,0.0,37.0,3.0,3.0,3.0,4.0,588.0,0,0,1,2.0,1.0,1.4
2475,0.0,100.0,2.0,2.0,2.0,3.0,556.0,0,0,1,1.0,2.0,0.35
2476,0.0,9.0,2.0,2.0,3.0,3.0,86.0,0,0,1,2.0,0.0,0.82
2477,0.0,100.0,2.0,2.0,2.0,3.0,1593.0,0,0,2,2.0,0.0,0.88
